PROPOSALID,TITLE,ABSTRACT,PROPOSALTYPE,PI,TARGET_ID,Source_Name,RA(J2000)(h m s),DEC(J2000)(d m s),Exposure_time(secs),PRIMARYINSTRUMENT
A10_033,Prompt study of magnetar outbursts with AstroSat,"Magnetars are strongly magnetized isolated neutron stars powered by the instabilities and decay of their huge magnetic field, 10^{13} - 10^{15} G. They show X-ray bursts, giant flares and large outbursts where the steady X-ray luminosity increases by several orders of magnitude and then decays in months/years. Observations performed during outbursts and flaring periods yield the largest amount of information on magnetars emission mechanisms, allowing to test the theoretical models on a variety of phenomena and source states. We propose to follow one outburst from a known or new magnetar (one trigger) with AstroSat to gather new physical insights on magnetars surface, field configuration and magnetosphere.",AToO,alicebor,T03,PSR J1718-3718,17 18 10.16,-37 18 53.78,90000.0,sxt
A10_033,Prompt study of magnetar outbursts with AstroSat,"Magnetars are strongly magnetized isolated neutron stars powered by the instabilities and decay of their huge magnetic field, 10^{13} - 10^{15} G. They show X-ray bursts, giant flares and large outbursts where the steady X-ray luminosity increases by several orders of magnitude and then decays in months/years. Observations performed during outbursts and flaring periods yield the largest amount of information on magnetars emission mechanisms, allowing to test the theoretical models on a variety of phenomena and source states. We propose to follow one outburst from a known or new magnetar (one trigger) with AstroSat to gather new physical insights on magnetars surface, field configuration and magnetosphere.",AToO,alicebor,T04,PSR 1819-1458,18 19 33.80,-14 58 01.00,90000.0,sxt
A10_033,Prompt study of magnetar outbursts with AstroSat,"Magnetars are strongly magnetized isolated neutron stars powered by the instabilities and decay of their huge magnetic field, 10^{13} - 10^{15} G. They show X-ray bursts, giant flares and large outbursts where the steady X-ray luminosity increases by several orders of magnitude and then decays in months/years. Observations performed during outbursts and flaring periods yield the largest amount of information on magnetars emission mechanisms, allowing to test the theoretical models on a variety of phenomena and source states. We propose to follow one outburst from a known or new magnetar (one trigger) with AstroSat to gather new physical insights on magnetars surface, field configuration and magnetosphere.",AToO,alicebor,T05,PSR 1734-3333,17 34 26.60,-33 33 22.00,90000.0,sxt
A10_034,Prompt study of magnetar outbursts with AstroSat,"Magnetars are strongly magnetized isolated neutron stars powered by the instabilities and decay of their huge magnetic field, 10^{13} - 10^{15} G. They show X-ray bursts, giant flares and large outbursts where the steady X-ray luminosity increases by several orders of magnitude and then decays in months/years. Observations performed during outbursts and flaring periods yield the largest amount of information on magnetars emission mechanisms, allowing to test the theoretical models on a variety of phenomena and source states. We propose to follow one outburst from a known or new magnetar (one trigger) with AstroSat to gather new physical insights on magnetars surface, field configuration and magnetosphere.",AToO,alicebor,T01,PSR 1814-1744,18 14 43.10,-17 44 48.00,90000.0,sxt
A10_034,Prompt study of magnetar outbursts with AstroSat,"Magnetars are strongly magnetized isolated neutron stars powered by the instabilities and decay of their huge magnetic field, 10^{13} - 10^{15} G. They show X-ray bursts, giant flares and large outbursts where the steady X-ray luminosity increases by several orders of magnitude and then decays in months/years. Observations performed during outbursts and flaring periods yield the largest amount of information on magnetars emission mechanisms, allowing to test the theoretical models on a variety of phenomena and source states. We propose to follow one outburst from a known or new magnetar (one trigger) with AstroSat to gather new physical insights on magnetars surface, field configuration and magnetosphere.",AToO,alicebor,T02,Swift J1818-1607,18 18 00.12,-16 07 53.2,90000.0,sxt
A10_034,Prompt study of magnetar outbursts with AstroSat,"Magnetars are strongly magnetized isolated neutron stars powered by the instabilities and decay of their huge magnetic field, 10^{13} - 10^{15} G. They show X-ray bursts, giant flares and large outbursts where the steady X-ray luminosity increases by several orders of magnitude and then decays in months/years. Observations performed during outbursts and flaring periods yield the largest amount of information on magnetars emission mechanisms, allowing to test the theoretical models on a variety of phenomena and source states. We propose to follow one outburst from a known or new magnetar (one trigger) with AstroSat to gather new physical insights on magnetars surface, field configuration and magnetosphere.",AToO,alicebor,T03,New magnetar,00 00 00.00,00 00 00.00,90000.0,sxt
A10_035,AstroSAT observations of the next transient X-ray binary in the globular cluster Terzan 5,"The globular cluster Terzan 5 contains numerous transient low-mass X-ray binaries. At least three of these have undergone X-ray outbursts over the past 15 years, showing a variety of intriguing behaviours. We propose a 40 ks AstroSAT observation of the next bright outburst from Terzan 5, to measure its X-ray energy spectrum, characterize its power spectrum, search for pulsations, and study any X-ray bursts that occur.",AToO,cheinke,T01,Terzan 5,17 48 04.80,-24 46 45,40000.0,laxpc1
A10_039,UV imaging of the stellar bridges in galaxy group NGC 4410,"The NGC 4410 group is a nearby interacting system with four primary galaxies, having morphologies from giant elliptical to SBa, connected via two linear optical bridges. Undoubtedly, the group provides a unique opportunity to investigate tidally induced star-formation in early-type galaxies and the evolution of the group. Despite having a wealth of data, deep ultraviolet observation essential to understand ongoing star-formation is missing. We propose to obtain a deep far-UV observation of NGC 4410 group that would not only enable us to study the star-formation in all the galaxies belonging to the group but also the bridges and the star-forming knots around. We plan to use proposed observation to search for recent tidal dwarf formation in and around the bridges. The deep FUV observation, along with archival multi-wavelength, will be valuable for modeling the SED and constraining the star-formation history, and possibly the IMF of the bridges in the group.",Reg,sbarway,T01,NGC 4410C,12 26 35.498,9 2 7.667,25836.0,uvit1
A10_042,Black Holes in Transition: A Legacy AstroSat Project - 1 of 3,"Black hole X-ray binaries (BHXBs) cycle through different accretion states rapidly, providing a time-resolved view of how matter behaves in a strong gravity environment. Simultaneous multi-wavelength observations are the optimal tool that exposes this view. However, these campaigns (connecting the evolving accretion inflow and jet outflow) have been achieved rarely. We request triggered 864ks observations by AstroSat of a BHXB as it transitions from the hard to the soft state, when the accretion disk and relativistic jets change significantly. We have submitted three proposals (A10\_042/A10\_051/A10\_**), but ask to observe only one BHXB (out of 13 listed targets); we ask that these proposals are treated together, distributing the proposal as 624/192/48ks against Indian/International/Canadian stare-time allocations. Our group is well suited to attain the simultaneous multiwavelength observations that will maximize the scientific legacy of these observations; we will also make AstroSat data immediately public and have open procedures for joining our team.",AToO,ranjeev,T01,XTE_J1817-330,18 17 43.54,-33 01 07.8,388800.0,laxpc2
A10_042,Black Holes in Transition: A Legacy AstroSat Project - 1 of 3,"Black hole X-ray binaries (BHXBs) cycle through different accretion states rapidly, providing a time-resolved view of how matter behaves in a strong gravity environment. Simultaneous multi-wavelength observations are the optimal tool that exposes this view. However, these campaigns (connecting the evolving accretion inflow and jet outflow) have been achieved rarely. We request triggered 864ks observations by AstroSat of a BHXB as it transitions from the hard to the soft state, when the accretion disk and relativistic jets change significantly. We have submitted three proposals (A10\_042/A10\_051/A10\_**), but ask to observe only one BHXB (out of 13 listed targets); we ask that these proposals are treated together, distributing the proposal as 624/192/48ks against Indian/International/Canadian stare-time allocations. Our group is well suited to attain the simultaneous multiwavelength observations that will maximize the scientific legacy of these observations; we will also make AstroSat data immediately public and have open procedures for joining our team.",AToO,ranjeev,T02,GRO_J1655-40,16 54 00.137,-39 50 44.90,388000.0,laxpc2
A10_042,Black Holes in Transition: A Legacy AstroSat Project - 1 of 3,"Black hole X-ray binaries (BHXBs) cycle through different accretion states rapidly, providing a time-resolved view of how matter behaves in a strong gravity environment. Simultaneous multi-wavelength observations are the optimal tool that exposes this view. However, these campaigns (connecting the evolving accretion inflow and jet outflow) have been achieved rarely. We request triggered 864ks observations by AstroSat of a BHXB as it transitions from the hard to the soft state, when the accretion disk and relativistic jets change significantly. We have submitted three proposals (A10\_042/A10\_051/A10\_**), but ask to observe only one BHXB (out of 13 listed targets); we ask that these proposals are treated together, distributing the proposal as 624/192/48ks against Indian/International/Canadian stare-time allocations. Our group is well suited to attain the simultaneous multiwavelength observations that will maximize the scientific legacy of these observations; we will also make AstroSat data immediately public and have open procedures for joining our team.",AToO,ranjeev,T03,Swift_J1658.2-4242,16 58 12.64,-42 41 54.5,388800.0,laxpc2
A10_042,Black Holes in Transition: A Legacy AstroSat Project - 1 of 3,"Black hole X-ray binaries (BHXBs) cycle through different accretion states rapidly, providing a time-resolved view of how matter behaves in a strong gravity environment. Simultaneous multi-wavelength observations are the optimal tool that exposes this view. However, these campaigns (connecting the evolving accretion inflow and jet outflow) have been achieved rarely. We request triggered 864ks observations by AstroSat of a BHXB as it transitions from the hard to the soft state, when the accretion disk and relativistic jets change significantly. We have submitted three proposals (A10\_042/A10\_051/A10\_**), but ask to observe only one BHXB (out of 13 listed targets); we ask that these proposals are treated together, distributing the proposal as 624/192/48ks against Indian/International/Canadian stare-time allocations. Our group is well suited to attain the simultaneous multiwavelength observations that will maximize the scientific legacy of these observations; we will also make AstroSat data immediately public and have open procedures for joining our team.",AToO,ranjeev,T04,GX_339-4,17 02 49.36,-48 47 22.8,388800.0,laxpc2
A10_042,Black Holes in Transition: A Legacy AstroSat Project - 1 of 3,"Black hole X-ray binaries (BHXBs) cycle through different accretion states rapidly, providing a time-resolved view of how matter behaves in a strong gravity environment. Simultaneous multi-wavelength observations are the optimal tool that exposes this view. However, these campaigns (connecting the evolving accretion inflow and jet outflow) have been achieved rarely. We request triggered 864ks observations by AstroSat of a BHXB as it transitions from the hard to the soft state, when the accretion disk and relativistic jets change significantly. We have submitted three proposals (A10\_042/A10\_051/A10\_**), but ask to observe only one BHXB (out of 13 listed targets); we ask that these proposals are treated together, distributing the proposal as 624/192/48ks against Indian/International/Canadian stare-time allocations. Our group is well suited to attain the simultaneous multiwavelength observations that will maximize the scientific legacy of these observations; we will also make AstroSat data immediately public and have open procedures for joining our team.",AToO,ranjeev,T05,XTE_J1650-500,16 50 00.98,-49 57 43.6,388800.0,laxpc2
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T01,NGC 660,01 43 02.40,13 38 42.20,3000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T02,MCG-05-07-001,02 28 20.11,-31 52 51.7,6000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T03,UGC 5791,10 39 26.89,47 56 49.60,5000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T04,LEDA 37112,11 51 36.046,16 39 51.43,20000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T05,SDSSCGB 6435.1,13 10 05.84,34 10 52.0,10000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T06,Mrk 803,14 04 54.73,12 42 16.88,20000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T07,UGC 9002,14 04 53.72,12 43 18.10,9000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T08,LEDA 84268,14 41 19.18,07 47 34.78,25000.0,uvit1
A10_045,A UVIT view into the formation and evolution of Polar Ring Galaxies,"In the hierarchical model of galaxy evolution, Polar Ring Galaxies (PRGs) are considered as the connecting link between the ongoing mergers and the quiescent galaxies. Interaction between galaxies is considered as the formation mechanism that leads to the creation of PRGs. It is proposed that, as the PRGs evolve through time the polar ring structure- the active region of star formation- disappears and which results in the formation of an elliptical galaxy. The lack of deep photometric observation currently constrains our understanding of the evolution of galaxies. We carried out an initial study for 306 PRGs (identified to date) using the SDSS data and made a subsample of PRGs with extended polar structure. In this ASTROSAT proposal, we aim to observe 10 PRGs using the UVIT instrument onboard ASTROSAT and investigate the role of interaction in the formation of PRGs along with the evolution of PRGs.",Reg,sreeja,T09,UGC 9562,14 51 14.41,35 32 32.1,5000.0,uvit1
A10_046,ASTROSAT observation of the fastest accreting millisecond pulsar IGR J00291+5934,"We propose a 70-ks ASTROSAT observation of the fastest accreting millisecond pulsar IGR J00291+5934 during its next outburst. We aim at measuring the spin and orbital parameters of this interesting source, in order to improve its ephemeris. This is the only AMSP for which there is a general agreement on the spin-up observed during outbursts. It also shows a long-term spin-down, probably caused by magnetic dipole emission during quiescent periods or gravitational radiation from the fast spinning neutron star. The next outburst will allow us to constrain the still elusive orbital period derivative in this system or to give very tight upper limits. The knowledge of precise ephemeris of the pulsar are of paramount importance for a meaningful search of the radio and gamma-ray counterparts, expected to turn on if the source switches to a rotation-powered pulsar state during X-ray quiescence, or of optical pulsations detected in other similar sources.",AToO,tdisalvo71,T01,IGR J00291+5934,00 29 03.06,59 34 19.0,70000.0,laxpc2
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T01,NGC 0613,01 34 18.2,-29 25 06.6,19500.0,uvit1
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T02,NGC 1097,02 46 19.1,-30 16 29.6,19500.0,uvit1
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T03,NGC 4981,13 08 48.7,-06 46 39.0,19500.0,uvit1
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T04,NGC 4984,13 08 57.2,-15 30 58.7,19500.0,uvit1
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T05,NGC 5728,14 42 23.9,-17 15 11.5,19500.0,uvit1
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T06,NGC 7755,23 47 51.7,-30 31 19.2,19500.0,uvit1
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T07,NGC 4394,12 25 55.6,18 12 50.0,19500.0,uvit1
A10_048,Assessing feedback and recent star formation in nuclear rings with UVIT observations of the MUSE-TIMER galaxy sample,"Context: The TIMER program uses VLT?s MUSE spectrograph to study the gas/stellar kinematics and energetics of nuclear rings in nearby galaxies. The impact of stellar feedback in fueling the galaxies? nuclear regions is unclear, as the brightest UV sources are poorly characterized. UVIT is well matched to MUSE resolution, allowing characterization of young ionizing sources in the galaxy centers. Requested observation: We request UVIT observations of the remaining 8 galaxies within the MUSE-TIMER sample which have optical IFU spectroscopy and complementary multi-wavelength photometry, but no highly resolved UV photometry. Objectives/Expected Scientific Results: Identification of sources with two UVIT filters in these galaxies provides a census of the stellar ionizing budget (crucial for modeling feedback-driven outflows), and constrains the recent SFH (<30 Myr; difficult from MUSE spectra alone) across the galaxy nuclear rings. This will provide a key test of how gas flows, SF, and feedback proceed and alter galaxies.",Reg,chayan,T08,IC 1438,22 16 29.1,-21 25 50.5,19500.0,uvit1
A10_049,To probe strong gravitational effect near the black hole in Seyfert galaxy 1H 0419-577,"We request a 30 ks observation of Seyfert galaxy 1H 0419-577 with SXT as a primary instrument, and simultaneously with LAXPC and UVIT. 1H 0419-577 is well feasible for {\it AstroSat} observation as per mandatory tests, though it has never been observed so far. The studies previously done with {\it XMM-Newton} observations revealed that \textbf{this source is ideal one to observe strong gravitational light bending in the vicinity of its rapidly spinning black hole. We will take the advantage of simultaneous observation from SXT and LAXPC and conduct a detailed broadband spectral analysis.} This will provide us unique opportunity to conclusively establish the highly predicted strong light bending model existed in 1H 0419-577. Further, we will extend our analysis to investigate the spectral variability of the source, also, will observe how the emitted component become more and more reflection dominated as the flux drops.",Reg,samuzal_astrosat,T01,1H 0419-577,04 26 00.71,-57 12 01.77,30000.0,sxt
A10_050,Far UV Spectroscopy of the Suspected Symbiotic Systems,"Till recently, presence of high excitation lines in the ground based optical spectra was considered to be a standard way to detect and characterize the symbiotic systems. However, the recent detection of SU Lyn - an ordinary red giant from ground-based observations with no emission lines ? in X-ray opened a door to a new class of symbiotics. We have successfully utilized the UVIT-FUV grism spectra of SU Lyn, from the previous proposals, to firmly establish SU Lyn as a member of a new rare kind of accretion powered non-burning symbiotic. The success of UVIT-spectroscopy has encouraged us to use this method to characterize and determine the parameters of the sources whose symbiotic natures are in question. Here we propose UVIT-FUV grism spectroscopy of five suspected and one known symbiotic systems with exposure time of $\sim$10,000s each. These observations would be utilized for the Ph.D. research work of the PI.",Reg,vipin,T01,AS281,18 10 43.86,-27 57 50.10,9600.0,uvit1
A10_050,Far UV Spectroscopy of the Suspected Symbiotic Systems,"Till recently, presence of high excitation lines in the ground based optical spectra was considered to be a standard way to detect and characterize the symbiotic systems. However, the recent detection of SU Lyn - an ordinary red giant from ground-based observations with no emission lines ? in X-ray opened a door to a new class of symbiotics. We have successfully utilized the UVIT-FUV grism spectra of SU Lyn, from the previous proposals, to firmly establish SU Lyn as a member of a new rare kind of accretion powered non-burning symbiotic. The success of UVIT-spectroscopy has encouraged us to use this method to characterize and determine the parameters of the sources whose symbiotic natures are in question. Here we propose UVIT-FUV grism spectroscopy of five suspected and one known symbiotic systems with exposure time of $\sim$10,000s each. These observations would be utilized for the Ph.D. research work of the PI.",Reg,vipin,T03,IRAS 18067-2746,18 09 51.05,-27 46 00.69,13800.0,uvit1
A10_050,Far UV Spectroscopy of the Suspected Symbiotic Systems,"Till recently, presence of high excitation lines in the ground based optical spectra was considered to be a standard way to detect and characterize the symbiotic systems. However, the recent detection of SU Lyn - an ordinary red giant from ground-based observations with no emission lines ? in X-ray opened a door to a new class of symbiotics. We have successfully utilized the UVIT-FUV grism spectra of SU Lyn, from the previous proposals, to firmly establish SU Lyn as a member of a new rare kind of accretion powered non-burning symbiotic. The success of UVIT-spectroscopy has encouraged us to use this method to characterize and determine the parameters of the sources whose symbiotic natures are in question. Here we propose UVIT-FUV grism spectroscopy of five suspected and one known symbiotic systems with exposure time of $\sim$10,000s each. These observations would be utilized for the Ph.D. research work of the PI.",Reg,vipin,T05,EC 20504-2232,20 53 20.20,-22 20 47.00,5100.0,uvit1
